pc_time_iso,type,event,raw_line,testId,slot,sf,bw,seq,len,toa_ms,txp_dbm,rssi_dbm,snr_db,pathloss_db,role,state,cmd
2025-12-15T18:50:00,EVENT,ROLE_SET,"LOG,EVENT,ROLE_SET,role,RX",,,,,,,,,,,,RX,,
2025-12-15T18:50:00,EVENT,ARMED,"LOG,EVENT,ARMED",,,,,,,,,,,,,,
2025-12-15T18:50:00,EVENT,STATUS,"LOG,EVENT,STATUS,role,RX,state,1",,,,,,,,,,,,RX,1,
2025-12-15T18:50:11,EVENT,TRIG_RX,"LOG,EVENT,TRIG_RX,testId,22208,rssi_dbm,-25,snr_db,9.00",22208,,,,,,,,-25,9.00,,,,
2025-12-15T18:50:11,EVENT,TEST_START,"LOG,EVENT,TEST_START,testId,22208,role,RX",22208,,,,,,,,,,,RX,,
2025-12-15T18:50:14,CFG,,"LOG,CFG,testId,22208,slot,0,sf,7,bw,125000,txp_dbm,17",22208,0,7,125000,,,,17,,,,,,
2025-12-15T18:50:17,RX,,"LOG,RX,testId,22208,slot,0,sf,7,bw,125000,seq,0,len,41,toa_ms,87.30,txp_dbm,17,rssi_dbm,-35,snr_db,9.75,pathloss_db,52.00",22208,0,7,125000,0,41,87.30,17,-35,9.75,52.00,,,
2025-12-15T18:50:24,CFG,,"LOG,CFG,testId,22208,slot,1,sf,7,bw,250000,txp_dbm,17",22208,1,7,250000,,,,17,,,,,,
2025-12-15T18:50:27,RX,,"LOG,RX,testId,22208,slot,1,sf,7,bw,250000,seq,1,len,41,toa_ms,43.65,txp_dbm,17,rssi_dbm,-34,snr_db,10.50,pathloss_db,51.00",22208,1,7,250000,1,41,43.65,17,-34,10.50,51.00,,,
2025-12-15T18:50:34,CFG,,"LOG,CFG,testId,22208,slot,2,sf,7,bw,500000,txp_dbm,17",22208,2,7,500000,,,,17,,,,,,
2025-12-15T18:50:37,RX,,"LOG,RX,testId,22208,slot,2,sf,7,bw,500000,seq,2,len,41,toa_ms,21.82,txp_dbm,17,rssi_dbm,-32,snr_db,5.00,pathloss_db,49.00",22208,2,7,500000,2,41,21.82,17,-32,5.00,49.00,,,
2025-12-15T18:50:44,CFG,,"LOG,CFG,testId,22208,slot,3,sf,8,bw,125000,txp_dbm,17",22208,3,8,125000,,,,17,,,,,,
2025-12-15T18:50:47,RX,,"LOG,RX,testId,22208,slot,3,sf,8,bw,125000,seq,3,len,41,toa_ms,154.11,txp_dbm,17,rssi_dbm,-35,snr_db,12.25,pathloss_db,52.00",22208,3,8,125000,3,41,154.11,17,-35,12.25,52.00,,,
2025-12-15T18:50:54,CFG,,"LOG,CFG,testId,22208,slot,4,sf,8,bw,250000,txp_dbm,17",22208,4,8,250000,,,,17,,,,,,
2025-12-15T18:50:57,RX,,"LOG,RX,testId,22208,slot,4,sf,8,bw,250000,seq,4,len,41,toa_ms,77.06,txp_dbm,17,rssi_dbm,-35,snr_db,10.75,pathloss_db,52.00",22208,4,8,250000,4,41,77.06,17,-35,10.75,52.00,,,
2025-12-15T18:51:04,CFG,,"LOG,CFG,testId,22208,slot,5,sf,8,bw,500000,txp_dbm,17",22208,5,8,500000,,,,17,,,,,,
