time_ms,packet_type,sequence_no,fragment_idx,total_fragments,packet_size_bytes
21376,ACK,0,-1,-1,35
26899,MSG,0,-1,-1,26
36064,ACK,1,-1,-1,36
39260,MSG,1,-1,-1,36
53738,ACK,2,-1,-1,36
59981,MSG,2,-1,-1,34
74689,ACKF,3,0,-1,34
75482,ACKF,3,1,-1,34
76275,ACKF,3,2,-1,34
77070,ACKF,3,3,-1,34
79518,ACKF,3,4,-1,34
80310,ACKF,3,5,-1,34
81102,ACKF,3,6,-1,34
81894,ACKF,3,7,-1,34
82686,ACKF,3,8,-1,34
83478,ACKF,3,9,-1,34
84280,ACKF,3,10,-1,35
85083,ACKF,3,11,-1,35
85886,ACKF,3,12,-1,35
86689,ACKF,3,13,-1,35
87497,ACKF,3,14,-1,35
88300,ACKF,3,15,-1,35
89103,ACKF,3,16,-1,35
89906,ACKF,3,17,-1,35
90709,ACKF,3,18,-1,35
91512,ACKF,3,19,-1,35
92315,ACKF,3,20,-1,35
93118,ACKF,3,21,-1,35
93921,ACKF,3,22,-1,35
94724,ACKF,3,23,-1,35
95527,ACKF,3,24,-1,35
96336,ACKF,3,25,-1,35
97139,ACKF,3,26,-1,35
97942,ACKF,3,27,-1,35
98745,ACKF,3,28,-1,35
99548,ACKF,3,29,-1,35
100351,ACKF,3,30,-1,35
101154,ACKF,3,31,-1,35
101684,ACKF,3,32,-1,35
102429,ACK,3,-1,-1,39
112925,MSGF,3,0,33,228
113723,MSGF,3,1,33,228
114516,MSGF,3,2,33,228
115309,MSGF,3,3,33,228
116102,MSGF,3,4,33,228
116895,MSGF,3,5,33,228
117688,MSGF,3,6,33,228
118481,MSGF,3,7,33,228
119274,MSGF,3,8,33,228
120067,MSGF,3,9,33,228
120860,MSGF,3,10,33,229
123324,MSGF,3,11,33,229
124127,MSGF,3,12,33,229
124930,MSGF,3,13,33,229
125733,MSGF,3,14,33,229
126536,MSGF,3,15,33,229
127339,MSGF,3,16,33,229
128142,MSGF,3,17,33,229
128945,MSGF,3,18,33,229
129748,MSGF,3,19,33,229
130551,MSGF,3,20,33,229
131360,MSGF,3,21,33,229
132163,MSGF,3,22,33,229
132966,MSGF,3,23,33,229
133769,MSGF,3,24,33,229
134572,MSGF,3,25,33,229
135375,MSGF,3,26,33,229
136178,MSGF,3,27,33,229
136981,MSGF,3,28,33,229
137784,MSGF,3,29,33,229
138587,MSGF,3,30,33,229
139396,MSGF,3,31,33,229
139931,MSGF,3,32,33,125
