SF,Fragment Size (B),Test 1 (%),Test 2 (%),Test 3 (%),Avg (%)
7,50,100,99.6,99.7,99.76666667
7,100,99.8,99.8,99.8,99.8
7,150,99.8,99.9,99.9,99.86666667
7,200,99.9,99.9,99.9,99.9
8,50,100,100,99.7,99.9
8,100,98.5,99.2,99.5,99.06666667
8,150,100,100,100,100
8,200,100,100,100,100
9,50,95.6,94.9,95.6,95.36666667
9,100,96,96.3,96.7,96.33333333
9,150,96.8,97,97,96.93333333
9,200,97,97.2,97.2,97.13333333
10,50,99.2,99.6,99.2,99.33333333
10,100,98.9,99.1,99.2,99.06666667
10,150,98.4,97.8,98,98.06666667
10,200,97.7,97.4,97.5,97.53333333
11,50,65.5,66.4,67.2,66.36666667
11,100,X,X,X,X
11,150,X,X,X,X
11,200,X,X,X,X
12,50,X,X,X,X
12,100,X,X,X,X
12,150,X,X,X,X
12,200,X,X,X,X
