time_ms,local_time,packet_type,sequence_no,fragment_idx,total_fragments,packet_size_bytes
88350,2025-10-15_17:36:10.352,ACKF,0,0,-1,34
89648,2025-10-15_17:36:11.650,ACKF,0,1,-1,34
90946,2025-10-15_17:36:12.948,ACKF,0,2,-1,34
92246,2025-10-15_17:36:14.248,ACKF,0,3,-1,34
93546,2025-10-15_17:36:15.548,ACKF,0,4,-1,34
94844,2025-10-15_17:36:16.846,ACKF,0,5,-1,34
96142,2025-10-15_17:36:17.144,ACKF,0,6,-1,34
97440,2025-10-15_17:36:19.442,ACKF,0,7,-1,34
98743,2025-10-15_17:36:20.745,ACKF,0,8,-1,34
100046,2025-10-15_17:36:21.048,ACKF,0,9,-1,34
101425,2025-10-15_17:36:23.427,ACKF,0,10,-1,35
102804,2025-10-15_17:36:24.806,ACKF,0,11,-1,35
104183,2025-10-15_17:36:25.185,ACKF,0,12,-1,35
105568,2025-10-15_17:36:27.570,ACKF,0,13,-1,35
106953,2025-10-15_17:36:28.955,ACKF,0,14,-1,35
108332,2025-10-15_17:36:30.334,ACKF,0,15,-1,35
109711,2025-10-15_17:36:31.713,ACKF,0,16,-1,35
111090,2025-10-15_17:36:32.092,ACKF,0,17,-1,35
112475,2025-10-15_17:36:34.477,ACKF,0,18,-1,35
113860,2025-10-15_17:36:35.862,ACKF,0,19,-1,35
115239,2025-10-15_17:36:37.241,ACKF,0,20,-1,35
116618,2025-10-15_17:36:38.620,ACKF,0,21,-1,35
117997,2025-10-15_17:36:39.999,ACKF,0,22,-1,35
119382,2025-10-15_17:36:41.384,ACKF,0,23,-1,35
120767,2025-10-15_17:36:42.769,ACKF,0,24,-1,35
122146,2025-10-15_17:36:43.148,ACKF,0,25,-1,35
123525,2025-10-15_17:36:45.527,ACKF,0,26,-1,35
124904,2025-10-15_17:36:46.906,ACKF,0,27,-1,35
126289,2025-10-15_17:36:48.291,ACKF,0,28,-1,35
127674,2025-10-15_17:36:49.676,ACKF,0,29,-1,35
129053,2025-10-15_17:36:50.055,ACKF,0,30,-1,35
130432,2025-10-15_17:36:52.434,ACKF,0,31,-1,35
131811,2025-10-15_17:36:53.813,ACKF,0,32,-1,35
133196,2025-10-15_17:36:54.198,ACKF,0,33,-1,35
134581,2025-10-15_17:36:56.583,ACKF,0,34,-1,35
135960,2025-10-15_17:36:57.962,ACKF,0,35,-1,35
137339,2025-10-15_17:36:59.341,ACKF,0,36,-1,35
138718,2025-10-15_17:37:00.720,ACKF,0,37,-1,35
140103,2025-10-15_17:37:01.105,ACKF,0,38,-1,35
141488,2025-10-15_17:37:03.490,ACKF,0,39,-1,35
142867,2025-10-15_17:37:04.869,ACKF,0,40,-1,35
144246,2025-10-15_17:37:06.248,ACKF,0,41,-1,35
145625,2025-10-15_17:37:07.627,ACKF,0,42,-1,35
147010,2025-10-15_17:37:08.012,ACKF,0,43,-1,35
148395,2025-10-15_17:37:10.397,ACKF,0,44,-1,35
149774,2025-10-15_17:37:11.776,ACKF,0,45,-1,35
151153,2025-10-15_17:37:12.155,ACKF,0,46,-1,35
152532,2025-10-15_17:37:14.534,ACKF,0,47,-1,35
153917,2025-10-15_17:37:15.919,ACKF,0,48,-1,35
155302,2025-10-15_17:37:17.304,ACKF,0,49,-1,35
156681,2025-10-15_17:37:18.683,ACKF,0,50,-1,35
158060,2025-10-15_17:37:19.062,ACKF,0,51,-1,35
159439,2025-10-15_17:37:21.441,ACKF,0,52,-1,35
160824,2025-10-15_17:37:22.826,ACKF,0,53,-1,35
162209,2025-10-15_17:37:24.211,ACKF,0,54,-1,35
163588,2025-10-15_17:37:25.590,ACKF,0,55,-1,35
164967,2025-10-15_17:37:26.969,ACKF,0,56,-1,35
166346,2025-10-15_17:37:28.348,ACKF,0,57,-1,35
169616,2025-10-15_17:37:31.618,ACKF,0,58,-1,35
171001,2025-10-15_17:37:32.003,ACKF,0,59,-1,35
172380,2025-10-15_17:37:34.382,ACKF,0,60,-1,35
173759,2025-10-15_17:37:35.761,ACKF,0,61,-1,35
175138,2025-10-15_17:37:36.140,ACKF,0,62,-1,35
176523,2025-10-15_17:37:38.525,ACKF,0,63,-1,35
177907,2025-10-15_17:37:39.909,ACKF,0,64,-1,35
