time_ms,local_time,packet_type,sequence_no,fragment_idx,total_fragments,packet_size_bytes
167813,2025-10-15_19:03:54.818,MSGF,0,0,131,79
168048,2025-10-15_19:03:54.053,MSGF,0,1,131,79
168282,2025-10-15_19:03:54.287,MSGF,0,2,131,79
168516,2025-10-15_19:03:54.521,MSGF,0,3,131,79
168756,2025-10-15_19:03:55.761,MSGF,0,4,131,79
168990,2025-10-15_19:03:55.995,MSGF,0,5,131,79
169224,2025-10-15_19:03:55.229,MSGF,0,6,131,79
169458,2025-10-15_19:03:55.463,MSGF,0,7,131,79
169692,2025-10-15_19:03:56.697,MSGF,0,8,131,79
169936,2025-10-15_19:03:56.941,MSGF,0,9,131,79
170170,2025-10-15_19:03:56.175,MSGF,0,10,131,80
170404,2025-10-15_19:03:56.409,MSGF,0,11,131,80
170638,2025-10-15_19:03:57.643,MSGF,0,12,131,80
170872,2025-10-15_19:03:57.877,MSGF,0,13,131,80
171116,2025-10-15_19:03:57.121,MSGF,0,14,131,80
171350,2025-10-15_19:03:57.355,MSGF,0,15,131,80
171584,2025-10-15_19:03:58.589,MSGF,0,16,131,80
171818,2025-10-15_19:03:58.823,MSGF,0,17,131,80
172052,2025-10-15_19:03:58.057,MSGF,0,18,131,80
172296,2025-10-15_19:03:58.301,MSGF,0,19,131,80
172530,2025-10-15_19:03:58.535,MSGF,0,20,131,80
172764,2025-10-15_19:03:59.769,MSGF,0,21,131,80
172998,2025-10-15_19:03:59.003,MSGF,0,22,131,80
173232,2025-10-15_19:03:59.237,MSGF,0,23,131,80
173476,2025-10-15_19:03:59.481,MSGF,0,24,131,80
173710,2025-10-15_19:04:00.715,MSGF,0,25,131,80
173944,2025-10-15_19:04:00.949,MSGF,0,26,131,80
174178,2025-10-15_19:04:00.183,MSGF,0,27,131,80
174412,2025-10-15_19:04:00.417,MSGF,0,28,131,80
174656,2025-10-15_19:04:01.661,MSGF,0,29,131,80
174890,2025-10-15_19:04:01.895,MSGF,0,30,131,80
175124,2025-10-15_19:04:01.129,MSGF,0,31,131,80
175358,2025-10-15_19:04:01.363,MSGF,0,32,131,80
175592,2025-10-15_19:04:02.597,MSGF,0,33,131,80
175836,2025-10-15_19:04:02.841,MSGF,0,34,131,80
176070,2025-10-15_19:04:02.075,MSGF,0,35,131,80
176304,2025-10-15_19:04:02.309,MSGF,0,36,131,80
176538,2025-10-15_19:04:02.543,MSGF,0,37,131,80
176772,2025-10-15_19:04:03.777,MSGF,0,38,131,80
177016,2025-10-15_19:04:03.021,MSGF,0,39,131,80
177250,2025-10-15_19:04:03.255,MSGF,0,40,131,80
177484,2025-10-15_19:04:03.489,MSGF,0,41,131,80
177718,2025-10-15_19:04:04.723,MSGF,0,42,131,80
177952,2025-10-15_19:04:04.957,MSGF,0,43,131,80
178196,2025-10-15_19:04:04.201,MSGF,0,44,131,80
178430,2025-10-15_19:04:04.435,MSGF,0,45,131,80
178664,2025-10-15_19:04:05.669,MSGF,0,46,131,80
178898,2025-10-15_19:04:05.903,MSGF,0,47,131,80
179132,2025-10-15_19:04:05.137,MSGF,0,48,131,80
179376,2025-10-15_19:04:05.381,MSGF,0,49,131,80
179610,2025-10-15_19:04:06.615,MSGF,0,50,131,80
179844,2025-10-15_19:04:06.849,MSGF,0,51,131,80
180078,2025-10-15_19:04:06.083,MSGF,0,52,131,80
180312,2025-10-15_19:04:06.317,MSGF,0,53,131,80
180556,2025-10-15_19:04:07.561,MSGF,0,54,131,80
180790,2025-10-15_19:04:07.795,MSGF,0,55,131,80
181024,2025-10-15_19:04:07.029,MSGF,0,56,131,80
181258,2025-10-15_19:04:07.263,MSGF,0,57,131,80
181492,2025-10-15_19:04:07.497,MSGF,0,58,131,80
181736,2025-10-15_19:04:08.741,MSGF,0,59,131,80
181970,2025-10-15_19:04:08.975,MSGF,0,60,131,80
182204,2025-10-15_19:04:08.209,MSGF,0,61,131,80
182438,2025-10-15_19:04:08.443,MSGF,0,62,131,80
182672,2025-10-15_19:04:09.677,MSGF,0,63,131,80
182916,2025-10-15_19:04:09.921,MSGF,0,64,131,80
183150,2025-10-15_19:04:09.155,MSGF,0,65,131,80
183384,2025-10-15_19:04:09.389,MSGF,0,66,131,80
183618,2025-10-15_19:04:10.623,MSGF,0,67,131,80
183852,2025-10-15_19:04:10.857,MSGF,0,68,131,80
184096,2025-10-15_19:04:10.101,MSGF,0,69,131,80
184330,2025-10-15_19:04:10.335,MSGF,0,70,131,80
184564,2025-10-15_19:04:11.569,MSGF,0,71,131,80
184798,2025-10-15_19:04:11.803,MSGF,0,72,131,80
185032,2025-10-15_19:04:11.037,MSGF,0,73,131,80
185276,2025-10-15_19:04:11.281,MSGF,0,74,131,80
185510,2025-10-15_19:04:11.515,MSGF,0,75,131,80
185744,2025-10-15_19:04:12.749,MSGF,0,76,131,80
185978,2025-10-15_19:04:12.983,MSGF,0,77,131,80
186212,2025-10-15_19:04:12.217,MSGF,0,78,131,80
186456,2025-10-15_19:04:12.461,MSGF,0,79,131,80
186690,2025-10-15_19:04:13.695,MSGF,0,80,131,80
186924,2025-10-15_19:04:13.929,MSGF,0,81,131,80
187158,2025-10-15_19:04:13.163,MSGF,0,82,131,80
187392,2025-10-15_19:04:13.397,MSGF,0,83,131,80
187636,2025-10-15_19:04:14.641,MSGF,0,84,131,80
187870,2025-10-15_19:04:14.875,MSGF,0,85,131,80
188104,2025-10-15_19:04:14.109,MSGF,0,86,131,80
