time_ms,local_time,pack2025-10-15_19:03:54.651et_type,sequence_no,fragment_idx,total_fragments,packet_size_bytes
122506,,MSGF,0,0,131,79
122741,2025-10-15_19:03:54.886,MSGF,0,1,131,79
122975,2025-10-15_19:03:54.120,MSGF,0,2,131,79
123209,2025-10-15_19:03:54.354,MSGF,0,3,131,79
123449,2025-10-15_19:03:55.594,MSGF,0,4,131,79
123683,2025-10-15_19:03:55.828,MSGF,0,5,131,79
123917,2025-10-15_19:03:55.062,MSGF,0,6,131,79
124151,2025-10-15_19:03:55.296,MSGF,0,7,131,79
124385,2025-10-15_19:03:56.530,MSGF,0,8,131,79
124629,2025-10-15_19:03:56.775,MSGF,0,9,131,79
124863,2025-10-15_19:03:56.008,MSGF,0,10,131,80
125097,2025-10-15_19:03:56.242,MSGF,0,11,131,80
125331,2025-10-15_19:03:57.476,MSGF,0,12,131,80
125565,2025-10-15_19:03:57.710,MSGF,0,13,131,80
125809,2025-10-15_19:03:57.955,MSGF,0,14,131,80
126043,2025-10-15_19:03:57.188,MSGF,0,15,131,80
126277,2025-10-15_19:03:58.422,MSGF,0,16,131,80
126511,2025-10-15_19:03:58.656,MSGF,0,17,131,80
126745,2025-10-15_19:03:58.890,MSGF,0,18,131,80
126989,2025-10-15_19:03:58.135,MSGF,0,19,131,80
127223,2025-10-15_19:03:58.368,MSGF,0,20,131,80
127457,2025-10-15_19:03:59.602,MSGF,0,21,131,80
127691,2025-10-15_19:03:59.836,MSGF,0,22,131,80
127925,2025-10-15_19:03:59.070,MSGF,0,23,131,80
128169,2025-10-15_19:03:59.315,MSGF,0,24,131,80
128403,2025-10-15_19:04:00.548,MSGF,0,25,131,80
128637,2025-10-15_19:04:00.782,MSGF,0,26,131,80
128871,2025-10-15_19:04:00.016,MSGF,0,27,131,80
129105,2025-10-15_19:04:00.250,MSGF,0,28,131,80
129349,2025-10-15_19:04:01.495,MSGF,0,29,131,80
129583,2025-10-15_19:04:01.728,MSGF,0,30,131,80
129817,2025-10-15_19:04:01.962,MSGF,0,31,131,80
130051,2025-10-15_19:04:01.196,MSGF,0,32,131,80
130285,2025-10-15_19:04:02.430,MSGF,0,33,131,80
130529,2025-10-15_19:04:02.675,MSGF,0,34,131,80
130763,2025-10-15_19:04:02.908,MSGF,0,35,131,80
130997,2025-10-15_19:04:02.142,MSGF,0,36,131,80
131231,2025-10-15_19:04:02.376,MSGF,0,37,131,80
131465,2025-10-15_19:04:03.610,MSGF,0,38,131,80
131709,2025-10-15_19:04:03.855,MSGF,0,39,131,80
131943,2025-10-15_19:04:03.088,MSGF,0,40,131,80
132177,2025-10-15_19:04:03.322,MSGF,0,41,131,80
132411,2025-10-15_19:04:04.556,MSGF,0,42,131,80
132645,2025-10-15_19:04:04.790,MSGF,0,43,131,80
132889,2025-10-15_19:04:04.035,MSGF,0,44,131,80
133123,2025-10-15_19:04:04.268,MSGF,0,45,131,80
133357,2025-10-15_19:04:05.502,MSGF,0,46,131,80
133591,2025-10-15_19:04:05.736,MSGF,0,47,131,80
133825,2025-10-15_19:04:05.970,MSGF,0,48,131,80
134069,2025-10-15_19:04:05.215,MSGF,0,49,131,80
134303,2025-10-15_19:04:06.448,MSGF,0,50,131,80
134537,2025-10-15_19:04:06.682,MSGF,0,51,131,80
134771,2025-10-15_19:04:06.916,MSGF,0,52,131,80
135005,2025-10-15_19:04:06.150,MSGF,0,53,131,80
135249,2025-10-15_19:04:07.395,MSGF,0,54,131,80
135483,2025-10-15_19:04:07.628,MSGF,0,55,131,80
135717,2025-10-15_19:04:07.862,MSGF,0,56,131,80
135951,2025-10-15_19:04:07.096,MSGF,0,57,131,80
136185,2025-10-15_19:04:07.330,MSGF,0,58,131,80
136429,2025-10-15_19:04:08.575,MSGF,0,59,131,80
136663,2025-10-15_19:04:08.808,MSGF,0,60,131,80
136897,2025-10-15_19:04:08.042,MSGF,0,61,131,80
137131,2025-10-15_19:04:08.276,MSGF,0,62,131,80
137365,2025-10-15_19:04:09.510,MSGF,0,63,131,80
137609,2025-10-15_19:04:09.755,MSGF,0,64,131,80
137843,2025-10-15_19:04:09.988,MSGF,0,65,131,80
138077,2025-10-15_19:04:09.222,MSGF,0,66,131,80
138311,2025-10-15_19:04:10.456,MSGF,0,67,131,80
138545,2025-10-15_19:04:10.690,MSGF,0,68,131,80
138789,2025-10-15_19:04:10.935,MSGF,0,69,131,80
139023,2025-10-15_19:04:10.168,MSGF,0,70,131,80
139257,2025-10-15_19:04:11.402,MSGF,0,71,131,80
139491,2025-10-15_19:04:11.636,MSGF,0,72,131,80
139725,2025-10-15_19:04:11.870,MSGF,0,73,131,80
139969,2025-10-15_19:04:11.115,MSGF,0,74,131,80
140203,2025-10-15_19:04:11.348,MSGF,0,75,131,80
140437,2025-10-15_19:04:12.582,MSGF,0,76,131,80
140671,2025-10-15_19:04:12.816,MSGF,0,77,131,80
140905,2025-10-15_19:04:12.050,MSGF,0,78,131,80
141149,2025-10-15_19:04:12.295,MSGF,0,79,131,80
141383,2025-10-15_19:04:13.528,MSGF,0,80,131,80
141617,2025-10-15_19:04:13.762,MSGF,0,81,131,80
141851,2025-10-15_19:04:13.996,MSGF,0,82,131,80
142085,2025-10-15_19:04:13.230,MSGF,0,83,131,80
142329,2025-10-15_19:04:14.475,MSGF,0,84,131,80
142563,2025-10-15_19:04:14.708,MSGF,0,85,131,80
142797,2025-10-15_19:04:14.942,MSGF,0,86,131,80
143031,2025-10-15_19:04:14.176,MSGF,0,87,131,80
143265,2025-10-15_19:04:15.410,MSGF,0,88,131,80
143509,2025-10-15_19:04:15.655,MSGF,0,89,131,80
143743,2025-10-15_19:04:15.888,MSGF,0,90,131,80
143977,2025-10-15_19:04:15.122,MSGF,0,91,131,80
144211,2025-10-15_19:04:15.356,MSGF,0,92,131,80
144445,2025-10-15_19:04:16.590,MSGF,0,93,131,80
144689,2025-10-15_19:04:16.835,MSGF,0,94,131,80
144923,2025-10-15_19:04:16.068,MSGF,0,95,131,80
145157,2025-10-15_19:04:16.302,MSGF,0,96,131,80
145391,2025-10-15_19:04:17.536,MSGF,0,97,131,80
145625,2025-10-15_19:04:17.770,MSGF,0,98,131,80
145869,2025-10-15_19:04:17.015,MSGF,0,99,131,80
146103,2025-10-15_19:04:17.248,MSGF,0,100,131,81
146337,2025-10-15_19:04:18.482,MSGF,0,101,131,81
146571,2025-10-15_19:04:18.716,MSGF,0,102,131,81
146805,2025-10-15_19:04:18.950,MSGF,0,103,131,81
147050,2025-10-15_19:04:18.196,MSGF,0,104,131,81
147284,2025-10-15_19:04:19.429,MSGF,0,105,131,81
147518,2025-10-15_19:04:19.663,MSGF,0,106,131,81
147752,2025-10-15_19:04:19.897,MSGF,0,107,131,81
147986,2025-10-15_19:04:19.131,MSGF,0,108,131,81
148231,2025-10-15_19:04:19.377,MSGF,0,109,131,81
148465,2025-10-15_19:04:20.610,MSGF,0,110,131,81
148699,2025-10-15_19:04:20.844,MSGF,0,111,131,81
148933,2025-10-15_19:04:20.078,MSGF,0,112,131,81
149167,2025-10-15_19:04:20.312,MSGF,0,113,131,81
149412,2025-10-15_19:04:21.557,MSGF,0,114,131,81
149646,2025-10-15_19:04:21.791,MSGF,0,115,131,81
149880,2025-10-15_19:04:21.025,MSGF,0,116,131,81
150114,2025-10-15_19:04:21.259,MSGF,0,117,131,81
150348,2025-10-15_19:04:22.493,MSGF,0,118,131,81
150593,2025-10-15_19:04:22.739,MSGF,0,119,131,81
150828,2025-10-15_19:04:22.973,MSGF,0,120,131,81
151062,2025-10-15_19:04:22.207,MSGF,0,121,131,81
151296,2025-10-15_19:04:23.441,MSGF,0,122,131,81
151530,2025-10-15_19:04:23.675,MSGF,0,123,131,81
151775,2025-10-15_19:04:23.921,MSGF,0,124,131,81
152009,2025-10-15_19:04:23.154,MSGF,0,125,131,81
152243,2025-10-15_19:04:24.388,MSGF,0,126,131,81
152477,2025-10-15_19:04:24.622,MSGF,0,127,131,81
152711,2025-10-15_19:04:24.856,MSGF,0,128,131,81
152956,2025-10-15_19:04:24.102,MSGF,0,129,131,81
153190,2025-10-15_19:04:24.289,MSGF,0,130,131,48



175980,2025-10-15_19:04:47.126,MSGF,1,0,131,79
176214,2025-10-15_19:04:47.359,MSGF,1,1,131,79
176453,2025-10-15_19:04:48.599,MSGF,1,2,131,79
176693,2025-10-15_19:04:48.838,MSGF,1,3,131,79
176927,2025-10-15_19:04:48.072,MSGF,1,4,131,79
177161,2025-10-15_19:04:48.306,MSGF,1,5,131,79
178322,2025-10-15_19:04:50.467,MSGF,1,5,131,79
178556,2025-10-15_19:04:50.701,MSGF,1,6,131,79
178800,2025-10-15_19:04:50.946,MSGF,1,7,131,79
179034,2025-10-15_19:04:50.179,MSGF,1,8,131,79
179268,2025-10-15_19:04:51.413,MSGF,1,9,131,79
179502,2025-10-15_19:04:51.647,MSGF,1,10,131,80
