time_ms,local_time,packet_type,sequence_no,fragment_idx,total_fragments,packet_size_bytes
49840,2025-10-06_18:24:50.850,MSGF,0,0,44,178
50498,2025-10-06_18:24:50.508,MSGF,0,1,44,178
51155,2025-10-06_18:24:51.165,MSGF,0,2,44,178
51812,2025-10-06_18:24:52.822,MSGF,0,3,44,178
52473,2025-10-06_18:24:52.483,MSGF,0,4,44,178
53130,2025-10-06_18:24:53.140,MSGF,0,5,44,178
53787,2025-10-06_18:24:54.797,MSGF,0,6,44,178
54444,2025-10-06_18:24:54.454,MSGF,0,7,44,178
55101,2025-10-06_18:24:55.111,MSGF,0,8,44,178
55768,2025-10-06_18:24:56.778,MSGF,0,9,44,178
56435,2025-10-06_18:24:56.445,MSGF,0,10,44,179
57112,2025-10-06_18:24:57.122,MSGF,0,11,44,179
57789,2025-10-06_18:24:58.799,MSGF,0,12,44,179
58466,2025-10-06_18:24:58.476,MSGF,0,13,44,179
59154,2025-10-06_18:24:59.164,MSGF,0,14,44,179
59832,2025-10-06_18:25:00.842,MSGF,0,15,44,179
60509,2025-10-06_18:25:00.519,MSGF,0,16,44,179
61186,2025-10-06_18:25:01.196,MSGF,0,17,44,179
61863,2025-10-06_18:25:02.873,MSGF,0,18,44,179
62552,2025-10-06_18:25:02.562,MSGF,0,19,44,179
63230,2025-10-06_18:25:03.240,MSGF,0,20,44,179
63907,2025-10-06_18:25:04.917,MSGF,0,21,44,179
64584,2025-10-06_18:25:05.594,MSGF,0,22,44,179
65261,2025-10-06_18:25:05.271,MSGF,0,23,44,179
65949,2025-10-06_18:25:06.959,MSGF,0,24,44,179
66627,2025-10-06_18:25:07.637,MSGF,0,25,44,179
67304,2025-10-06_18:25:07.314,MSGF,0,26,44,179
67981,2025-10-06_18:25:08.991,MSGF,0,27,44,179
68658,2025-10-06_18:25:09.668,MSGF,0,28,44,179
69346,2025-10-06_18:25:09.356,MSGF,0,29,44,179
70024,2025-10-06_18:25:10.034,MSGF,0,30,44,179
70701,2025-10-06_18:25:11.711,MSGF,0,31,44,179
71378,2025-10-06_18:25:11.388,MSGF,0,32,44,179
72055,2025-10-06_18:25:12.065,MSGF,0,33,44,179
72743,2025-10-06_18:25:13.753,MSGF,0,34,44,179
73421,2025-10-06_18:25:13.431,MSGF,0,35,44,179
74098,2025-10-06_18:25:14.108,MSGF,0,36,44,179
74775,2025-10-06_18:25:15.785,MSGF,0,37,44,179
75452,2025-10-06_18:25:15.462,MSGF,0,38,44,179
76141,2025-10-06_18:25:16.151,MSGF,0,39,44,179
76819,2025-10-06_18:25:17.829,MSGF,0,40,44,179
77496,2025-10-06_18:25:17.506,MSGF,0,41,44,179
78173,2025-10-06_18:25:18.183,MSGF,0,42,44,179
78633,2025-10-06_18:25:19.638,MSGF,0,43,44,96

89292,2025-10-06_18:25:29.302,MSGF,1,0,44,178
89949,2025-10-06_18:25:30.959,MSGF,1,1,44,178
90605,2025-10-06_18:25:31.615,MSGF,1,2,44,178
91261,2025-10-06_18:25:31.271,MSGF,1,3,44,178
91923,2025-10-06_18:25:32.933,MSGF,1,4,44,178
92586,2025-10-06_18:25:33.596,MSGF,1,5,44,178
93242,2025-10-06_18:25:33.252,MSGF,1,6,44,178
93898,2025-10-06_18:25:34.908,MSGF,1,7,44,178
94554,2025-10-06_18:25:34.564,MSGF,1,8,44,178
95216,2025-10-06_18:25:35.226,MSGF,1,9,44,178
