time_ms,local_time,packet_type,sequence_no,fragment_idx,total_fragments,packet_size_bytes
,,,,,,
710562,2025-10-06_17:41:09.202,MSGF,0,0,33,228
711356,2025-10-06_17:41:10.996,MSGF,0,1,33,228
712150,2025-10-06_17:41:11.790,MSGF,0,2,33,228
712943,2025-10-06_17:41:11.583,MSGF,0,3,33,228
713740,2025-10-06_17:41:12.380,MSGF,0,4,33,228
714534,2025-10-06_17:41:13.174,MSGF,0,5,33,228
715328,2025-10-06_17:41:14.968,MSGF,0,6,33,228
716121,2025-10-06_17:41:15.761,MSGF,0,7,33,228
716914,2025-10-06_17:41:15.554,MSGF,0,8,33,228
717718,2025-10-06_17:41:16.358,MSGF,0,9,33,228
718511,2025-10-06_17:41:17.151,MSGF,0,10,33,229
719315,2025-10-06_17:41:18.955,MSGF,0,11,33,229
720119,2025-10-06_17:41:19.759,MSGF,0,12,33,229
720923,2025-10-06_17:41:19.563,MSGF,0,13,33,229
721738,2025-10-06_17:41:20.378,MSGF,0,14,33,229
722542,2025-10-06_17:41:21.182,MSGF,0,15,33,229
723346,2025-10-06_17:41:22.986,MSGF,0,16,33,229
724150,2025-10-06_17:41:23.790,MSGF,0,17,33,229
724954,2025-10-06_17:41:24.594,MSGF,0,18,33,229
725769,2025-10-06_17:41:24.409,MSGF,0,19,33,229
726572,2025-10-06_17:41:25.212,MSGF,0,20,33,229
727376,2025-10-06_17:41:26.016,MSGF,0,21,33,229
728180,2025-10-06_17:41:27.820,MSGF,0,22,33,229
728984,2025-10-06_17:41:28.624,MSGF,0,23,33,229
729799,2025-10-06_17:41:28.439,MSGF,0,24,33,229
730602,2025-10-06_17:41:29.242,MSGF,0,25,33,229
731406,2025-10-06_17:41:30.046,MSGF,0,26,33,229
732210,2025-10-06_17:41:31.850,MSGF,0,27,33,229
733014,2025-10-06_17:41:32.654,MSGF,0,28,33,229
733829,2025-10-06_17:41:32.469,MSGF,0,29,33,229
734632,2025-10-06_17:41:33.272,MSGF,0,30,33,229
735436,2025-10-06_17:41:34.076,MSGF,0,31,33,229
736240,2025-10-06_17:41:35.663,MSGF,0,32,33,146
,,,,,,
746953,2025-10-06_17:41:46.592,MSGF,1,0,33,228
747751,2025-10-06_17:41:46.391,MSGF,1,1,33,228
748545,2025-10-06_17:41:47.185,MSGF,1,2,33,228
749338,2025-10-06_17:41:48.978,MSGF,1,3,33,228
750131,2025-10-06_17:41:49.771,MSGF,1,4,33,228
750930,2025-10-06_17:41:49.570,MSGF,1,5,33,228
751728,2025-10-06_17:41:50.368,MSGF,1,6,33,228
752522,2025-10-06_17:41:51.162,MSGF,1,7,33,228
753315,2025-10-06_17:41:52.955,MSGF,1,8,33,228
754108,2025-10-06_17:41:53.748,MSGF,1,9,33,228
754907,2025-10-06_17:41:53.547,MSGF,1,10,33,229
755715,2025-10-06_17:41:54.355,MSGF,1,11,33,229
756519,2025-10-06_17:41:55.159,MSGF,1,12,33,229
757323,2025-10-06_17:41:56.963,MSGF,1,13,33,229
758127,2025-10-06_17:41:57.767,MSGF,1,14,33,229
758937,2025-10-06_17:41:57.577,MSGF,1,15,33,229
759745,2025-10-06_17:41:58.385,MSGF,1,16,33,229
760549,2025-10-06_17:41:59.189,MSGF,1,17,33,229
761353,2025-10-06_17:42:00.993,MSGF,1,18,33,229
762157,2025-10-06_17:42:01.797,MSGF,1,19,33,229
762967,2025-10-06_17:42:02.607,MSGF,1,20,33,229
763776,2025-10-06_17:42:02.416,MSGF,1,21,33,229
764580,2025-10-06_17:42:03.220,MSGF,1,22,33,229
765384,2025-10-06_17:42:04.024,MSGF,1,23,33,229
766188,2025-10-06_17:42:05.828,MSGF,1,24,33,229
766998,2025-10-06_17:42:06.638,MSGF,1,25,33,229
767806,2025-10-06_17:42:06.446,MSGF,1,26,33,229
768610,2025-10-06_17:42:07.250,MSGF,1,27,33,229
769414,2025-10-06_17:42:08.054,MSGF,1,28,33,229
770218,2025-10-06_17:42:09.858,MSGF,1,29,33,229
771028,2025-10-06_17:42:10.668,MSGF,1,30,33,229
771836,2025-10-06_17:42:10.476,MSGF,1,31,33,229
772640,2025-10-06_17:42:11.063,MSGF,1,32,33,146
,,,,,,
826564,2025-10-06_17:43:05.203,MSGF,2,0,33,228
827363,2025-10-06_17:43:06.003,MSGF,2,1,33,228
828157,2025-10-06_17:43:07.797,MSGF,2,2,33,228
828955,2025-10-06_17:43:08.595,MSGF,2,3,33,228
829749,2025-10-06_17:43:08.389,MSGF,2,4,33,228
830542,2025-10-06_17:43:09.182,MSGF,2,5,33,228
831341,2025-10-06_17:43:10.981,MSGF,2,6,33,228
832134,2025-10-06_17:43:11.774,MSGF,2,7,33,228
832932,2025-10-06_17:43:11.572,MSGF,2,8,33,228
833726,2025-10-06_17:43:12.366,MSGF,2,9,33,228
834519,2025-10-06_17:43:13.159,MSGF,2,10,33,229
835328,2025-10-06_17:43:14.968,MSGF,2,11,33,229
836131,2025-10-06_17:43:15.771,MSGF,2,12,33,229
836940,2025-10-06_17:43:15.580,MSGF,2,13,33,229
837744,2025-10-06_17:43:16.384,MSGF,2,14,33,229
838547,2025-10-06_17:43:17.187,MSGF,2,15,33,229
839356,2025-10-06_17:43:18.996,MSGF,2,16,33,229
840159,2025-10-06_17:43:19.799,MSGF,2,17,33,229
840968,2025-10-06_17:43:20.608,MSGF,2,18,33,229
841772,2025-10-06_17:43:20.412,MSGF,2,19,33,229
842575,2025-10-06_17:43:21.215,MSGF,2,20,33,229
843384,2025-10-06_17:43:22.024,MSGF,2,21,33,229
844187,2025-10-06_17:43:23.827,MSGF,2,22,33,229
844996,2025-10-06_17:43:24.636,MSGF,2,23,33,229
845800,2025-10-06_17:43:24.440,MSGF,2,24,33,229
846603,2025-10-06_17:43:25.243,MSGF,2,25,33,229
847412,2025-10-06_17:43:26.052,MSGF,2,26,33,229
848215,2025-10-06_17:43:27.855,MSGF,2,27,33,229
849024,2025-10-06_17:43:28.664,MSGF,2,28,33,229
849828,2025-10-06_17:43:28.468,MSGF,2,29,33,229
850631,2025-10-06_17:43:29.271,MSGF,2,30,33,229
851439,2025-10-06_17:43:30.079,MSGF,2,31,33,229
852243,2025-10-06_17:43:31.666,MSGF,2,32,33,146
