SF,Fragment Size (B),Test 1 (ms),Test 2 (ms),Test 3 (ms),Avg (ms)
7,50,"29,567","31,989","30,828","30,795"
7,100,"19,226","20,229","19,264","19,573"
7,150,"15,649","17,639","15,631","16,306"
7,200,"14,817","14,928","13,920","14,555"
8,50,"53,706","53,725","55,040","54,157"
8,100,"35,855","34,494","35,496","35,282"
8,150,"28,982","28,985","28,999","28,989"
8,200,"25,840","24,850","25,842","25,511"
9,50,"103,619","107,659","99,715","103,664"
9,100,"62,236","62,256","60,596","61,696"
9,150,"52,497","50,573","52,505","51,858"
9,200,"46,580","46,034","48,194","46,936"
10,50,"181,238","179,381","183,122","181,247"
10,100,"118,263","113,777","113,777","115,272"
10,150,"95,606","96,613","92,946","95,055"
10,200,"85,407","86,707","83,622","85,245"
11,50,"387,586","378,279","385,636","383,834"
11,100,X,X,X,X
11,150,X,X,X,X
11,200,X,X,X,X
12,50,X,X,X,X
12,100,X,X,X,X
12,150,X,X,X,X
12,200,X,X,X,X
