time_ms,packet_type,sequence_no,fragment_idx,total_fragments,packet_size_bytes
21075,MSG,0,-1,-1,26
26938,ACK,0,-1,-1,35
35732,MSG,1,-1,-1,35
39299,ACK,1,-1,-1,36
53416,MSG,2,-1,-1,34
60020,ACK,2,-1,-1,36
73898,MSGF,3,0,33,228
74692,MSGF,3,1,33,228
75485,MSGF,3,2,33,228
76280,MSGF,3,3,33,228
77073,MSGF,3,4,33,228
78728,MSGF,3,4,33,228
79521,MSGF,3,5,33,228
80313,MSGF,3,6,33,228
81105,MSGF,3,7,33,228
81897,MSGF,3,8,33,228
82689,MSGF,3,9,33,228
83481,MSGF,3,10,33,229
84283,MSGF,3,11,33,229
85086,MSGF,3,12,33,229
85889,MSGF,3,13,33,229
86697,MSGF,3,14,33,229
87500,MSGF,3,15,33,229
88303,MSGF,3,16,33,229
89106,MSGF,3,17,33,229
89909,MSGF,3,18,33,229
90712,MSGF,3,19,33,229
91515,MSGF,3,20,33,229
92318,MSGF,3,21,33,229
93121,MSGF,3,22,33,229
93924,MSGF,3,23,33,229
94727,MSGF,3,24,33,229
95536,MSGF,3,25,33,229
96339,MSGF,3,26,33,229
97142,MSGF,3,27,33,229
97945,MSGF,3,28,33,229
98748,MSGF,3,29,33,229
99551,MSGF,3,30,33,229
100354,MSGF,3,31,33,229
101157,MSGF,3,32,33,123
112943,ACKF,3,0,-1,34
113736,ACKF,3,1,-1,34
114529,ACKF,3,2,-1,34
115322,ACKF,3,3,-1,34
116115,ACKF,3,4,-1,34
116908,ACKF,3,5,-1,34
117701,ACKF,3,6,-1,34
118494,ACKF,3,7,-1,34
119287,ACKF,3,8,-1,34
120080,ACKF,3,9,-1,34
120878,ACKF,3,10,-1,35
123337,ACKF,3,11,-1,35
124140,ACKF,3,12,-1,35
124943,ACKF,3,13,-1,35
125746,ACKF,3,14,-1,35
126549,ACKF,3,15,-1,35
127352,ACKF,3,16,-1,35
128155,ACKF,3,17,-1,35
128958,ACKF,3,18,-1,35
129761,ACKF,3,19,-1,35
130569,ACKF,3,20,-1,35
131373,ACKF,3,21,-1,35
132176,ACKF,3,22,-1,35
132979,ACKF,3,23,-1,35
133782,ACKF,3,24,-1,35
134585,ACKF,3,25,-1,35
135388,ACKF,3,26,-1,35
136191,ACKF,3,27,-1,35
136994,ACKF,3,28,-1,35
137797,ACKF,3,29,-1,35
138605,ACKF,3,30,-1,35
139409,ACKF,3,31,-1,35
139938,ACKF,3,32,-1,35
140673,ACK,3,-1,-1,39
