time_ms,packet_type,sequence_no,fragment_idx,total_fragments,packet_size_bytes
56139,MSG,0,-1,-1,26
84211,MSG,1,-1,-1,194
147325,MSGF,2,0,4,227
150241,MSGF,2,0,4,227
153098,MSGF,2,0,4,227
155962,MSGF,2,0,4,227
158834,MSGF,2,0,4,227
161840,MSGF,2,0,4,227
164717,MSGF,2,0,4,227
167613,MSGF,2,0,4,227
170652,MSGF,2,0,4,227
173680,MSGF,2,0,4,227
174761,MSGF,2,1,4,227
177674,MSGF,2,1,4,227
180714,MSGF,2,1,4,227
181805,MSGF,2,2,4,227
184740,MSGF,2,2,4,227
187692,MSGF,2,2,4,227
190653,MSGF,2,2,4,227
193549,MSGF,2,2,4,227
196443,MSGF,2,2,4,227
199353,MSGF,2,2,4,227
202379,MSGF,2,2,4,227
208356,MSGF,2,0,4,227
211280,MSGF,2,0,4,227
214212,MSGF,2,0,4,227
217147,MSGF,2,0,4,227
220231,MSGF,2,0,4,227
223181,MSGF,2,0,4,227
226137,MSGF,2,0,4,227
242485,MSG,3,-1,-1,24
245837,MSG,3,-1,-1,24
249334,MSG,3,-1,-1,24
