nodeId,role,event,seq,idx,tot,bytes,rssi,snr,toa_ms,t_ms,dt_ms
TIM,B404AD08B764,TX,SESSION_START,-1,-1,-1,0,-,-,0,150,77
TIM,B404AD08B764,TX,MSG_TX,0,-1,-1,24,-,-,113,29003,28853
TIM,B404AD08B764,TX,WAIT_ACK_START,0,-1,-1,0,-,-,0,29034,31
TIM,B404AD08B764,TX,WAIT_ACK_TO,0,-1,-1,0,-,-,0,30838,1804
TIM,B404AD08B764,TX,RETRY_MSG,0,-1,-1,0,-,-,0,30843,5
TIM,B404AD08B764,TX,MSG_TX,0,-1,-1,24,-,-,113,31072,229
TIM,B404AD08B764,TX,WAIT_ACK_START,0,-1,-1,0,-,-,0,31236,164
TIM,B404AD08B764,TX,WAIT_ACK_TO,0,-1,-1,0,-,-,0,33041,1805
TIM,B404AD08B764,TX,RETRY_MSG,0,-1,-1,0,-,-,0,33073,32
TIM,B404AD08B764,TX,MSG_TX,0,-1,-1,24,-,-,113,33327,254
TIM,B404AD08B764,TX,WAIT_ACK_START,0,-1,-1,0,-,-,0,33381,54
TIM,B404AD08B764,TX,WAIT_ACK_TO,0,-1,-1,0,-,-,0,35208,1827
TIM,B404AD08B764,TX,RETRY_MSG,0,-1,-1,0,-,-,0,35235,27
TIM,B404AD08B764,TX,ABORT,0,-1,-1,0,-,-,0,35373,138
TIM,B404AD08B764,TX,MSG_TX,1,-1,-1,28,-,-,123,35561,188
TIM,B404AD08B764,TX,WAIT_ACK_START,1,-1,-1,0,-,-,0,35617,56
TIM,B404AD08B764,TX,WAIT_ACK_TO,1,-1,-1,0,-,-,0,37446,1829
TIM,B404AD08B764,TX,RETRY_MSG,1,-1,-1,0,-,-,0,37475,29
TIM,B404AD08B764,TX,MSG_TX,1,-1,-1,28,-,-,123,37739,264
TIM,B404AD08B764,TX,WAIT_ACK_START,1,-1,-1,0,-,-,0,37796,57
TIM,B404AD08B764,TX,WAIT_ACK_TO,1,-1,-1,0,-,-,0,39625,1829
