time_ms,packet_type,sequence_no,fragment_idx,total_fragments,packet_size_bytes
56313,ACK,0,-1,-1,35
84409,ACK,1,-1,-1,37
147466,ACKF,2,0,-1,34
150542,ACKF,2,0,-1,34
153283,ACKF,2,0,-1,34
156149,ACKF,2,0,-1,34
159023,ACKF,2,0,-1,34
162028,ACKF,2,0,-1,34
164905,ACKF,2,0,-1,34
167802,ACKF,2,0,-1,34
170841,ACKF,2,0,-1,34
173981,ACKF,2,0,-1,34
174955,ACKF,2,1,-1,34
177865,ACKF,2,1,-1,34
181010,ACKF,2,1,-1,34
182001,ACKF,2,2,-1,34
184936,ACKF,2,2,-1,34
187889,ACKF,2,2,-1,34
190896,ACKF,2,2,-1,34
193792,ACKF,2,2,-1,34
196686,ACKF,2,2,-1,34
199597,ACKF,2,2,-1,34
202625,ACKF,2,2,-1,34
208604,ACKF,2,0,-1,34
211527,ACKF,2,0,-1,34
214462,ACKF,2,0,-1,34
217395,ACKF,2,0,-1,34
220480,ACKF,2,0,-1,34
223573,ACKF,2,0,-1,34
226389,ACKF,2,0,-1,34
242774,ACK,3,-1,-1,37
243016,MSG,0,-1,-1,24
246171,ACK,3,-1,-1,37
246590,MSG,0,-1,-1,24
249604,ACK,3,-1,-1,37
250024,MSG,0,-1,-1,24
